User Input,Chatbot Response,Timestamp
10-12-2024 23:05,hi,"I'm fine, thank you"
11-12-2024 10:44,hi,Hello
11-12-2024 10:49,hello,"I'm fine, thank you"
11-12-2024 10:52,hi,Hello
11-12-2024 10:57,hi,Hi there
11-12-2024 10:58,I am sad,"Gardening tips include choosing the right plants for your climate, watering properly, and using organic fertilizers."
11-12-2024 10:58,bye,See you later
11-12-2024 10:58,hi,"I'm fine, thank you"
11-12-2024 10:58,bye,See you later
11-12-2024 11:02,bye,Take care
11-12-2024 11:03,bye,See you later
11-12-2024 11:05,ok,Growing a vegetable garden allows you to enjoy fresh produce and connect with nature.
11-12-2024 11:29,I am feeling low,"I'm sorry to hear that. Remember, tough times don't last forever."
11-12-2024 11:29,i know ,Hey
11-12-2024 11:30,i want some clarity in life,Nothing much
2024-12-11 13:30:13,hi,Hey
2024-12-11 13:32:24,hello,Hey
2024-12-11 13:33:10,i am good,Hi there
2024-12-11 13:38:32,hello,Hello
2024-12-11 13:39:30,hello,Nothing much
2024-12-11 13:52:59,hello,"I'm fine, thank you"
2024-12-11 13:54:38,I am sad,"I'm sorry to hear that. Remember, tough times don't last forever."
